2024-06-15 13:50:37.329 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@38996505 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.329 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@b2da3a5 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.360 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@2d44fe8b (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.360 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7dace04c (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.360 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@301302cb (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.362 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@24d1f029 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.362 [http-nio-8080-exec-4] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@35d0a5db (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.364 [http-nio-8080-exec-7] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@686999f7 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 13:50:37.366 [http-nio-8080-exec-5] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@69fb4c2e (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.160 [http-nio-8080-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@63eceb5a (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.163 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@5f6c6f9b (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.159 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@380fb4af (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.169 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@bc8bc69 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.170 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7943200 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.172 [http-nio-8080-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@5ef5e34d (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.173 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7df4c336 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.174 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@2719f8c4 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.175 [http-nio-8080-exec-3] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@3514a95 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:00:49.177 [http-nio-8080-exec-1] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@66fbae9c (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.445 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@636f771a (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.534 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@42e1ff7d (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.536 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@246b2505 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.538 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@3c245135 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.541 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@3e34f6a1 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.545 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@7363ec0d (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.550 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@e5dbc69 (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.553 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@106ef96e (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.557 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@9f6843c (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:29:19.560 [http-nio-8080-exec-9] WARN  com.zaxxer.hikari.pool.PoolBase - HikariPool-1 - Failed to validate connection org.postgresql.jdbc.PgConnection@6519028b (This connection has been closed.). Possibly consider using a shorter maxLifetime value. 
2024-06-15 14:31:00.303 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
2024-06-15 14:31:00.367 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated... 
2024-06-15 14:31:01.197 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed. 
2024-06-15 14:31:08.540 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final 
2024-06-15 14:31:08.630 [main] INFO  c.fashion.server.ServerApplication - Starting ServerApplication using Java 17.0.10 with PID 3260 (D:\Myproject\FashionStore\server\target\classes started by Truong Bui in D:\Myproject\FashionStore) 
2024-06-15 14:31:08.631 [main] INFO  c.fashion.server.ServerApplication - No active profile set, falling back to 1 default profile: "default" 
2024-06-15 14:31:10.028 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode 
2024-06-15 14:31:10.031 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2024-06-15 14:31:10.283 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 240 ms. Found 3 JPA repository interfaces. 
